"State","Body","District","Year","Term","Party","Prvote","Propvote","PrMargin","ThreePVote"
"Indiana","Senate",2,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","Senate",3,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","Senate",5,2016,NA,"Republican",34771,23628,"19.08%",0
"Indiana","Senate",7,2016,NA,"Republican",36158,14590,"42.5%",0
"Indiana","Senate",8,2016,NA,"Republican",31239,22373,"16.54%",0
"Indiana","Senate",9,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","Senate",10,2016,NA,"Democrat",31011,0,"82.96%",6370
"Indiana","Senate",12,2016,NA,"Republican",29301,12476,"40.27%",0
"Indiana","Senate",13,2016,NA,"Republican",33720,10872,"51.24%",0
"Indiana","Senate",16,2016,NA,"Republican",35243,18110,"32.11%",0
"Indiana","Senate",18,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","Senate",20,2016,NA,"Republican",48651,19043,"41.65%",3392
"Indiana","Senate",24,2016,NA,"Republican",47493,0,"81.62%",10694
"Indiana","Senate",28,2016,NA,"Republican",38404,21166,"28.93%",6
"Indiana","Senate",30,2016,NA,"Republican",36848,33220,"5%",2564
"Indiana","Senate",32,2016,NA,"Republican",31187,20202,"20.51%",2172
"Indiana","Senate",33,2016,NA,"Democrat",42544,0,"89.16%",5170
"Indiana","Senate",34,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","Senate",35,2016,NA,"Republican",26631,18655,"17.61%",0
"Indiana","Senate",36,2016,NA,"Republican",26710,23384,"6.64%",0
"Indiana","Senate",37,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","Senate",40,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","Senate",42,2016,NA,"Republican",37843,14085,"45.75%",0
"Indiana","Senate",44,2016,NA,"Republican",36875,15406,"39.53%",2029
"Indiana","Senate",50,2016,NA,"Democrat",0,0,"Unopposed",0
